filename,date,cloud_coverage
LC08_L2SP_147038_20200827_02_T2.tif,2020-08-27 05:24:21.122413+00:00,88.41
LC08_L2SP_147038_20200811_02_T1.tif,2020-08-11 05:24:12.602788+00:00,52.37
LC08_L2SP_147038_20200726_02_T2.tif,2020-07-26 05:24:09.644455+00:00,90.28
LC08_L2SP_147038_20200710_02_T1.tif,2020-07-10 05:24:04.651787+00:00,34.58
LC08_L2SP_147038_20200624_02_T1.tif,2020-06-24 05:23:57.693262+00:00,60.09
LC08_L2SP_147038_20200608_02_T1.tif,2020-06-08 05:23:48.718933+00:00,19.8
LC08_L2SP_147038_20200523_02_T1.tif,2020-05-23 05:23:40.831823+00:00,25.74
LC08_L2SP_147038_20200507_02_T1.tif,2020-05-07 05:23:38.300220+00:00,12.05
LC08_L2SP_147038_20200421_02_T1.tif,2020-04-21 05:23:47.391017+00:00,50.91
LC08_L2SP_147038_20200405_02_T1.tif,2020-04-05 05:23:53.915670+00:00,28.51
LC08_L2SP_147038_20200320_02_T1.tif,2020-03-20 05:24:03.067538+00:00,6.83
LC08_L2SP_147038_20200304_02_T1.tif,2020-03-04 05:24:10.627360+00:00,4.22
LC08_L2SP_147038_20200217_02_T1.tif,2020-02-17 05:24:15.685079+00:00,1.05
LC08_L2SP_147038_20200201_02_T1.tif,2020-02-01 05:24:19.285266+00:00,12.99
LC08_L2SP_147038_20200116_02_T1.tif,2020-01-16 05:24:24.397869+00:00,83.09
